FSCSKEY,ClusterNumber_Service,ClusterNumber_Staff,ClusterNumber_Finance,ClusterNumber_Collection
IA0445,Medium_1,Medium_3,Medium_3,Medium_7
IA0446,Small_4,Small_1,Small_1,Small_7
IA0447,Small_6,Small_5,Small_5,Small_8
IA0448,Medium_5,Medium_7,Medium_4,Medium_4
IA0449,Small_4,Small_4,Small_2,Small_7
IA0450,Small_7,Small_5,Small_5,Small_7
IA0451,Small_4,Small_4,Small_2,Small_8
IA0452,Medium_4,Medium_6,Medium_3,Medium_4
IA0453,VeryLarge_2,VeryLarge_2,VeryLarge_2,VeryLarge_7
IA0454,Medium_1,Medium_3,Medium_3,Medium_4
IA0455,Small_4,Small_2,Small_1,Small_7
IA0456,Medium_8,Medium_7,Medium_4,Medium_7
IA0457,Small_1,Small_6,Small_1,Small_8
IA0458,Large_1,Large_3,Large_2,Large_7
IA0459,Small_1,Small_2,Small_5,Small_8
IA0460,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_7
IA0461,Small_3,Small_3,Small_5,Small_7
IA0462,Medium_4,Medium_1,Medium_1,Medium_7
IA0463,Medium_1,Medium_3,Medium_3,Medium_7
IA0464,Medium_6,Medium_6,Medium_1,Medium_4
IA0465,Small_1,Small_3,Small_4,Small_8
IA0466,Medium_6,Medium_6,Medium_1,Medium_4
IA0467,Small_2,Small_4,Small_2,Small_7
IA0468,Small_6,Small_2,Small_1,Small_7
IA0469,Small_4,Small_2,Small_2,Small_3
IA0470,Small_4,Small_2,Small_1,Small_3
IA0471,Small_2,Small_4,Small_2,Small_3
IA0472,Medium_4,Medium_6,Medium_1,Medium_4
IA0473,VeryLarge_2,VeryLarge_2,VeryLarge_3,VeryLarge_4
IA0474,Large_1,Large_1,Large_1,Large_7
IA0475,Small_4,Small_1,Small_2,Small_8
IA0476,Medium_4,Medium_6,Medium_1,Medium_7
IA0477,Small_4,Small_6,Small_1,Small_8
IA0478,Medium_1,Medium_3,Medium_3,Medium_7
IA0479,Small_4,Small_2,Small_1,Small_8
IA0480,Small_1,Small_1,Small_1,Small_8
IA0481,Large_1,Large_3,Large_1,Large_7
IA0483,Small_4,Small_1,Small_1,Small_3
IA0484,Small_2,Small_4,Small_2,Small_8
IA0485,Small_1,Small_2,Small_1,Small_4
IA0486,Medium_4,Medium_6,Medium_3,Medium_7
IA0487,Medium_4,Medium_6,Medium_3,Medium_4
IA0488,Small_4,Small_4,Small_2,Small_8
IA0489,Small_4,Small_4,Small_2,Small_7
IA0490,Small_1,Small_5,Small_5,Small_7
IA0491,Small_4,Small_4,Small_2,Small_7
IA0492,Small_7,Small_2,Small_1,Small_7
IA0493,Medium_4,Medium_6,Medium_3,Medium_7
IA0494,Medium_4,Medium_6,Medium_3,Medium_4
IA0495,Small_1,Small_5,Small_5,Small_7
IA0497,Small_3,Small_6,Small_4,Small_7
IA0498,Medium_6,Medium_7,Medium_4,Medium_4
IA0499,Small_4,Small_6,Small_2,Small_8
IA0500,Small_4,Small_4,Small_2,Small_8
IA0501,Medium_1,Medium_3,Medium_3,Medium_7
IA0502,Small_2,Small_2,Small_2,Small_3
IA0503,Small_1,Small_3,Small_1,Small_8
IA0504,Small_4,Small_2,Small_5,Small_8
IA0505,Small_1,Small_2,Small_1,Small_8
IA0507,Small_7,Small_1,Small_1,Small_7
IA0509,Small_6,Small_2,Small_1,Small_7
IA0510,Medium_6,Medium_6,Medium_3,Medium_4
IA0511,Small_1,Small_1,Small_1,Small_7
IA0516,Small_1,Small_2,Small_2,Small_8
IA0517,Small_4,Small_4,Small_1,Small_3
IA0518,Medium_4,Medium_6,Medium_3,Medium_7
IA0520,Small_8,Small_5,Small_5,Small_7
IA0521,Small_6,Small_2,Small_1,Small_8
IA0522,Small_4,Small_4,Small_2,Small_8
IA0523,Small_7,Small_5,Small_5,Small_7
IA0524,Small_4,Small_4,Small_2,Small_3
IA0525,Small_1,Small_2,Small_1,Small_3
IA0528,Small_4,Small_2,Small_1,Small_8
IA0530,Small_6,Small_4,Small_2,Small_8
IA0531,Small_4,Small_4,Small_1,Small_7
IA0532,Small_1,Small_2,Small_1,Small_3
IA0533,Small_1,Small_5,Small_5,Small_7
IA0534,Small_4,Small_2,Small_1,Small_3
IA0535,Small_4,Small_4,Small_2,Small_3
IA0536,Small_4,Small_4,Small_1,Small_3
IA0537,Small_4,Small_4,Small_2,Small_3
IA0541,Small_4,Small_4,Small_2,Small_3
IA0544,Small_4,Small_4,Small_2,Small_3
IA0547,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_4
IA0548,Small_4,Small_1,Small_1,Small_8
IA0549,Small_4,Small_2,Small_1,Small_4
IA0550,Small_4,Small_4,Small_2,Small_3
IA0551,Medium_1,Medium_3,Medium_3,Medium_7
IA0552,Small_2,Small_4,Small_2,Small_3
IA0554,Small_1,Small_2,Small_5,Small_7
IA0555,Small_4,Small_4,Small_2,Small_8
IA0556,Small_4,Small_1,Small_2,Small_3
IA0557,Small_4,Small_1,Small_2,Small_8
IA0558,Small_4,Small_4,Small_2,Small_8
IA0559,Small_1,Small_2,Small_4,Small_8
IA0561,Small_1,Small_2,Small_1,Small_3
IA0562,Small_4,Small_4,Small_2,Small_8
IA0570,Small_6,Small_2,Small_1,Small_7
IA0571,Large_1,Large_2,Large_2,Large_7
IA0573,Small_3,Small_2,Small_5,Small_7
IA0575,Medium_7,Medium_5,Medium_3,Medium_4
IA0576,Small_6,Small_6,Small_1,Small_3
IA0577,Small_2,Small_4,Small_2,Small_8
IA0578,Small_1,Small_2,Small_2,Small_8
IA0579,Medium_4,Medium_6,Medium_1,Medium_4
IA0580,Small_2,Small_4,Small_2,Small_3
IA0581,Small_2,Small_4,Small_2,Small_3
IA0582,Small_4,Small_4,Small_2,Small_3
IA0584,Small_2,Small_4,Small_2,Small_8
ID0001,Medium_4,Medium_4,Medium_3,Medium_1
ID0002,Medium_3,Medium_4,Medium_4,Medium_2
ID0003,Medium_4,Medium_6,Medium_3,Medium_4
ID0005,VeryLarge_6,VeryLarge_1,VeryLarge_1,VeryLarge_2
ID0006,VeryLarge_1,VeryLarge_2,VeryLarge_2,VeryLarge_3
ID0007,Small_1,Small_5,Small_1,Small_2
ID0008,Large_7,Large_2,Large_3,Large_4
ID0009,Medium_3,Medium_1,Medium_4,Medium_1
ID0010,Large_1,Large_2,Large_1,Large_4
ID0011,Small_4,Small_2,Small_2,Small_5
ID0012,Medium_4,Medium_1,Medium_1,Medium_4
ID0013,Large_2,Large_2,Large_3,Large_4
ID0014,VeryLarge_4,VeryLarge_3,VeryLarge_3,VeryLarge_3
ID0015,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
ID0016,Small_4,Small_4,Small_2,Small_2
ID0018,Small_7,Small_5,Small_1,Small_2
ID0019,Large_7,Large_2,Large_3,Large_4
ID0020,Small_4,Small_4,Small_2,Small_5
ID0021,Small_1,Small_6,Small_1,Small_2
ID0022,Small_4,Small_1,Small_1,Small_4
ID0023,Small_3,Small_3,Small_1,Small_1
ID0024,Medium_7,Medium_4,Medium_4,Medium_2
ID0025,Small_4,Small_4,Small_1,Small_5
ID0026,Large_7,Large_5,Large_2,Large_2
ID0027,Medium_5,Medium_6,Medium_4,Medium_2
ID0028,Small_1,Small_3,Small_1,Small_3
ID0029,Small_7,Small_1,Small_1,Small_1
ID0030,Medium_1,Medium_3,Medium_3,Medium_3
ID0032,Small_3,Small_3,Small_4,Small_4
ID0033,Large_2,Large_4,Large_3,Large_4
ID0034,Small_4,Small_4,Small_2,Small_2
ID0035,Medium_4,Medium_3,Medium_3,Medium_3
ID0036,Medium_8,Medium_4,Medium_3,Medium_1
ID0037,Small_1,Small_5,Small_5,Small_2
ID0038,Small_6,Small_1,Small_1,Small_2
ID0039,Small_6,Small_1,Small_1,Small_2
ID0040,Small_4,Small_4,Small_2,Small_5
ID0041,Medium_3,Medium_2,Medium_4,Medium_2
ID0042,Medium_1,Medium_3,Medium_3,Medium_3
ID0043,Small_4,Small_2,Small_1,Small_1
ID0045,Medium_5,Medium_4,Medium_1,Medium_1
ID0046,VeryLarge_1,VeryLarge_3,VeryLarge_2,VeryLarge_7
ID0048,Large_2,Large_2,Large_3,Large_4
ID0049,Medium_1,Medium_6,Medium_3,Medium_3
ID0050,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
ID0051,VeryLarge_4,VeryLarge_3,VeryLarge_3,VeryLarge_3
ID0053,Small_2,Small_4,Small_2,Small_2
ID0055,Large_9,Large_2,Large_3,Large_3
ID0056,Medium_6,Medium_6,Medium_1,Medium_1
ID0057,Small_4,Small_2,Small_1,Small_2
ID0058,Medium_1,Medium_3,Medium_3,Medium_3
ID0059,Medium_4,Medium_4,Medium_4,Medium_1
ID0060,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
ID0061,VeryLarge_1,VeryLarge_1,VeryLarge_2,VeryLarge_3
ID0062,Medium_7,Medium_6,Medium_1,Medium_2
ID0063,Large_4,Large_2,Large_3,Large_4
ID0064,Small_4,Small_4,Small_2,Small_5
ID0065,Medium_4,Medium_1,Medium_1,Medium_3
ID0066,Small_4,Small_2,Small_1,Small_2
ID0067,Medium_6,Medium_4,Medium_4,Medium_2
ID0068,Small_4,Small_1,Small_2,Small_1
ID0069,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
ID0070,Small_4,Small_4,Small_2,Small_2
ID0071,Small_4,Small_1,Small_1,Small_2
ID0072,Small_9,Small_1,Small_1,Small_2
ID0073,Small_4,Small_4,Small_2,Small_1
ID0075,Medium_7,Medium_4,Medium_4,Medium_2
ID0077,Small_3,Small_1,Small_1,Small_2
ID0078,Medium_6,Medium_4,Medium_1,Medium_2
ID0080,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
ID0081,Small_1,Small_3,Small_5,Small_2
ID0083,Small_1,Small_3,Small_5,Small_2
ID0084,Medium_6,Medium_4,Medium_4,Medium_1
ID0085,Large_1,Large_2,Large_1,Large_4
ID0086,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_3
ID0087,Small_1,Small_2,Small_2,Small_2
ID0088,Small_4,Small_1,Small_2,Small_2
ID0089,Small_4,Small_2,Small_2,Small_2
ID0090,Medium_6,Medium_4,Medium_3,Medium_1
ID0091,Small_4,Small_6,Small_1,Small_2
ID0092,Small_8,Small_2,Small_1,Small_2
ID0093,Medium_4,Medium_4,Medium_1,Medium_1
ID0094,Large_1,Large_1,Large_3,Large_3
ID0097,Medium_6,Medium_6,Medium_1,Medium_1
ID0098,VeryLarge_3,VeryLarge_2,VeryLarge_2,VeryLarge_2
ID0099,Medium_6,Medium_3,Medium_1,Medium_1
ID0100,Small_4,Small_3,Small_1,Small_2
ID0101,Small_3,Small_1,Small_5,Small_2
ID0103,Medium_4,Medium_6,Medium_1,Medium_1
ID0104,Small_1,Small_1,Small_5,Small_2
ID0105,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
ID0106,Large_5,Large_3,Large_3,Large_4
ID0107,Small_9,Small_5,Small_1,Small_1
ID0108,Medium_4,Medium_4,Medium_3,Medium_1
ID0109,Medium_1,Medium_3,Medium_3,Medium_3
ID0110,Medium_1,Medium_4,Medium_3,Medium_1
ID0111,Small_9,Small_5,Small_1,Small_2
ID0112,Small_8,Small_3,Small_4,Small_1
ID0120,VeryLarge_1,VeryLarge_2,VeryLarge_2,VeryLarge_3
ID0123,Large_5,Large_3,Large_3,Large_4
ID0124,Small_7,Small_6,Small_4,Small_1
ID0125,Small_6,Small_5,Small_4,Small_2
IL0001,Medium_1,Medium_6,Medium_3,Medium_7
IL0002,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_4
IL0003,VeryLarge_2,VeryLarge_1,VeryLarge_2,VeryLarge_3
IL0005,Small_9,Small_1,Small_1,Small_7
IL0006,VeryLarge_4,VeryLarge_1,VeryLarge_2,VeryLarge_3
IL0007,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_4
IL0008,Large_6,Large_7,Large_4,Large_8
IL0009,Small_9,Small_1,Small_1,Small_7
IL0010,Small_4,Small_4,Small_2,Small_7
IL0011,Medium_1,Medium_6,Medium_3,Medium_7
IL0012,Small_1,Small_6,Small_1,Small_8
IL0013,Large_5,Large_3,Large_1,Large_7
IL0014,Small_4,Small_5,Small_1,Small_7
IL0015,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_7
IL0016,Medium_4,Medium_6,Medium_3,Medium_4
IL0018,VeryLarge_1,VeryLarge_4,VeryLarge_1,VeryLarge_1
IL0019,Medium_6,Medium_4,Medium_1,Medium_7
IL0020,Medium_7,Medium_2,Medium_4,Medium_4
IL0021,Small_4,Small_4,Small_2,Small_8
IL0022,Small_4,Small_1,Small_1,Small_7
IL0023,Small_1,Small_5,Small_5,Small_7
IL0024,Small_6,Small_1,Small_1,Small_7
IL0025,Small_9,Small_1,Small_5,Small_4
IL0026,Small_7,Small_5,Small_4,Small_8
IL0027,Medium_4,Medium_6,Medium_1,Medium_7
IL0028,Medium_1,Medium_1,Medium_3,Medium_4
IL0029,VeryLarge_6,VeryLarge_4,VeryLarge_2,VeryLarge_1
IL0030,Small_4,Small_1,Small_2,Small_3
IL0031,Medium_4,Medium_6,Medium_1,Medium_4
IL0032,VeryLarge_2,VeryLarge_1,VeryLarge_2,VeryLarge_3
IL0033,Small_4,Small_6,Small_1,Small_8
IL0034,VeryLarge_3,VeryLarge_2,VeryLarge_2,VeryLarge_4
IL0035,VeryLarge_4,VeryLarge_2,VeryLarge_2,VeryLarge_7
IL0036,Medium_1,Medium_1,Medium_3,Medium_4
IL0037,Small_8,Small_7,Small_3,Small_4
IL0038,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_4
IL0039,Large_7,Large_7,Large_5,Large_3
IL0040,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_4
IL0041,Small_9,Small_6,Small_4,Small_7
IL0042,Large_2,Large_7,Large_5,Large_7
IL0043,Large_5,Large_2,Large_3,Large_1
IL0044,Medium_6,Medium_5,Medium_4,Medium_4
IL0045,Small_6,Small_5,Small_4,Small_4
IL0046,VeryLarge_4,VeryLarge_2,VeryLarge_2,VeryLarge_4
IL0047,Large_1,Large_2,Large_3,Large_7
IL0048,Small_1,Small_3,Small_5,Small_4
IL0049,Large_6,Large_6,Large_4,Large_8
IL0050,VeryLarge_1,VeryLarge_1,VeryLarge_2,VeryLarge_7
IL0051,Large_2,Large_4,Large_5,Large_2
IL0052,Small_1,Small_1,Small_5,Small_7
IL0053,Small_4,Small_2,Small_2,Small_8
IL0054,Large_10,Large_5,Large_2,Large_1
IL0055,Small_1,Small_5,Small_4,Small_7
IL0056,Large_1,Large_2,Large_3,Large_1
IL0057,Medium_4,Medium_6,Medium_1,Medium_4
IL0058,Large_1,Large_4,Large_5,Large_7
IL0059,Medium_4,Medium_1,Medium_4,Medium_4
IL0060,Medium_10,Medium_5,Medium_2,Medium_2
IL0061,Large_6,Large_7,Large_5,Large_2
IL0062,Small_4,Small_1,Small_2,Small_7
IL0063,Medium_6,Medium_6,Medium_3,Medium_7
IL0064,Small_4,Small_4,Small_2,Small_8
IL0065,Medium_4,Medium_6,Medium_3,Medium_4
IL0066,Medium_10,Medium_2,Medium_2,Medium_5
IL0067,Large_1,Large_2,Large_1,Large_1
IL0068,Medium_1,Medium_3,Medium_3,Medium_4
IL0069,VeryLarge_4,VeryLarge_3,VeryLarge_3,VeryLarge_4
IL0070,Medium_5,Medium_4,Medium_1,Medium_4
IL0071,Medium_1,Medium_6,Medium_3,Medium_4
IL0072,Medium_1,Medium_3,Medium_3,Medium_7
IL0073,Large_1,Large_2,Large_3,Large_2
IL0074,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
IL0075,Medium_6,Medium_6,Medium_1,Medium_4
IL0076,Medium_6,Medium_1,Medium_1,Medium_4
IL0077,Medium_4,Medium_6,Medium_1,Medium_4
IL0078,VeryLarge_2,VeryLarge_1,VeryLarge_2,VeryLarge_3
IL0080,Small_1,Small_5,Small_5,Small_7
IL0081,Large_3,Large_1,Large_3,Large_1
IL0082,Medium_4,Medium_6,Medium_1,Medium_4
IL0083,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_3
IL0084,Medium_10,Medium_4,Medium_1,Medium_4
IL0085,Medium_6,Medium_6,Medium_3,Medium_4
IL0086,Medium_4,Medium_3,Medium_3,Medium_7
IL0087,Small_2,Small_1,Small_2,Small_7
IL0088,VeryLarge_2,VeryLarge_3,VeryLarge_3,VeryLarge_4
IL0089,Medium_6,Medium_3,Medium_3,Medium_7
IL0090,Small_1,Small_2,Small_1,Small_7
IL0091,VeryLarge_1,VeryLarge_1,VeryLarge_2,VeryLarge_7
IL0092,Large_1,Large_3,Large_3,Large_1
IL0093,Large_7,Large_7,Large_2,Large_3
IL0094,Small_8,Small_3,Small_1,Small_4
IL0095,Small_7,Small_6,Small_5,Small_7
IL0096,Large_7,Large_7,Large_2,Large_2
IL0097,Medium_4,Medium_6,Medium_3,Medium_7
IL0098,VeryLarge_9,VeryLarge_6,VeryLarge_5,VeryLarge_6
IL0099,VeryLarge_3,VeryLarge_3,VeryLarge_3,VeryLarge_4
IL0100,Large_2,Large_7,Large_5,Large_3
IL0102,Large_5,Large_3,Large_3,Large_1
IL0103,Small_9,Small_2,Small_2,Small_7
IL0104,Medium_1,Medium_3,Medium_3,Medium_7
IL0105,VeryLarge_2,VeryLarge_3,VeryLarge_2,VeryLarge_3
IL0106,Small_1,Small_1,Small_1,Small_7
IL0107,Medium_3,Medium_5,Medium_2,Medium_2
IL0108,Small_4,Small_1,Small_1,Small_8
IL0110,Small_1,Small_3,Small_4,Small_4
IL0111,Large_7,Large_7,Large_2,Large_3
IL0112,Small_4,Small_1,Small_1,Small_8
IL0113,Small_4,Small_1,Small_1,Small_8
